TenureGroup,mean,count,ChurnRate
0-12 months,0.4767816091954023,2175,47.67816091954023
13-24 months,0.287109375,1024,28.7109375
25-36 months,0.21634615384615385,832,21.634615384615387
37-48 months,0.19028871391076116,762,19.028871391076116
49-60 months,0.14423076923076922,832,14.423076923076922
61-72 months,0.06609808102345416,1407,6.609808102345416
